"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: listSize","Param: maxItems","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1230538669.214712,50907860.611676,"ops/s",INTERSECTION,-1,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3808296.929623,151011.218865,"ops/s",INTERSECTION,-1,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,862501.195388,55219.695242,"ops/s",INTERSECTION,-1,,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1808739.426743,54356.752517,"ops/s",INTERSECTION,-1,,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1829626.041389,183906.984564,"ops/s",INTERSECTION,-1,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1005200.683700,356496.291551,"ops/s",INTERSECTION,-1,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,991806.134463,323587.807831,"ops/s",INTERSECTION,-1,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,57200.970132,3893.202958,"ops/s",INTERSECTION,-1,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,61285.399526,17202.914889,"ops/s",INTERSECTION,-1,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,45564.398522,4307.405831,"ops/s",INTERSECTION,-1,,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,50336.526991,4773.845420,"ops/s",INTERSECTION,-1,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,334518.597615,44313.132584,"ops/s",,,100,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,328914.093001,87450.097832,"ops/s",,,100,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,326065.250186,51333.400976,"ops/s",,,100,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,8880.117260,2026.340097,"ops/s",,,1000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,8787.843524,1896.329739,"ops/s",,,1000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,8805.373304,2105.813508,"ops/s",,,1000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,566.905692,114.420225,"ops/s",,,10000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,529.709568,103.797641,"ops/s",,,10000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,559.415085,55.500392,"ops/s",,,10000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,20.768930,16.017197,"ops/s",,,100000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,22.377939,14.239607,"ops/s",,,100000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,27.819912,20.750622,"ops/s",,,100000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,2.009810,1.069212,"ops/s",,,1000000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,1.787352,1.734713,"ops/s",,,1000000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort","thrpt",1,6,2.153472,0.215681,"ops/s",,,1000000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,35197.213550,2147.937288,"ops/s",,,100,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,17675.329665,835.097146,"ops/s",,,100,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,17727.974325,780.429905,"ops/s",,,100,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,5416.605353,164.695668,"ops/s",,,1000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,4656.431726,173.008610,"ops/s",,,1000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,4415.835542,132.192613,"ops/s",,,1000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,947.809094,141.174723,"ops/s",,,10000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,952.414967,38.720788,"ops/s",,,10000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,909.836850,170.834574,"ops/s",,,10000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,126.047823,11.109857,"ops/s",,,100000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,98.687239,4.910379,"ops/s",,,100000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,99.748924,2.884511,"ops/s",,,100000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,9.194616,0.709498,"ops/s",,,1000000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,9.276323,0.431938,"ops/s",,,1000000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort","thrpt",1,6,9.426307,0.293548,"ops/s",,,1000000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,1713828.031891,175397.802267,"ops/s",,,100,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,1087559.524675,206500.093309,"ops/s",,,100,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,247411.015458,31126.428199,"ops/s",,,100,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,173768.728311,9726.569849,"ops/s",,,1000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,162543.036204,11582.993820,"ops/s",,,1000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,6710.228089,380.831192,"ops/s",,,1000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,10156.112717,1397.257043,"ops/s",,,10000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,10873.976348,2026.651267,"ops/s",,,10000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,1200.706790,167.331031,"ops/s",,,10000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,84.334857,16.727030,"ops/s",,,100000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,81.067950,14.279552,"ops/s",,,100000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,215.342615,157.637224,"ops/s",,,100000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,12.841646,1.888261,"ops/s",,,1000000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,16.876949,12.302961,"ops/s",,,1000000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.partialSort","thrpt",1,6,10.570391,1.234016,"ops/s",,,1000000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,204784.064249,59606.767040,"ops/s",,,100,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,224536.150874,34331.558258,"ops/s",,,100,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,175116.158484,81231.757078,"ops/s",,,100,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,7517.149343,428.113559,"ops/s",,,1000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,7508.299375,2387.857691,"ops/s",,,1000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,6517.150204,900.237331,"ops/s",,,1000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,446.513639,88.617902,"ops/s",,,10000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,475.256839,39.344329,"ops/s",,,10000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,458.852072,51.502069,"ops/s",,,10000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,15.795417,4.817639,"ops/s",,,100000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,19.719911,8.454224,"ops/s",,,100000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,15.532919,6.346440,"ops/s",,,100000,1000,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,1.150909,0.138388,"ops/s",,,1000000,1,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,1.071395,0.257125,"ops/s",,,1000000,10,,
"com.zigurs.karlis.utils.search.bench.SortOperations.streamSort","thrpt",1,6,1.037065,0.280864,"ops/s",,,1000000,1000,,
