"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: intern","Param: merge","Param: parallel","Param: query","Param: size","Param: type","Param: unmatched"
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,226594.494567,4123.108460,"ops/s",false,INTERSECTION,true,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,928873.877791,40207.434183,"ops/s",false,INTERSECTION,true,washington,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,905058.946555,79095.990540,"ops/s",false,INTERSECTION,true,washington,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,133579.831174,4191.381799,"ops/s",false,INTERSECTION,true,"wa sh",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,136711.930851,1283.243536,"ops/s",false,INTERSECTION,true,"wa sh",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,6460.306215,201.307981,"ops/s",false,INTERSECTION,true,"a b c d e",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,6505.344285,132.565155,"ops/s",false,INTERSECTION,true,"a b c d e",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2195.855345,75.398966,"ops/s",false,INTERSECTION,true,"a b c d e g h i l m n p r s u v y",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2172.820557,82.703987,"ops/s",false,INTERSECTION,true,"a b c d e g h i l m n p r s u v y",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,611091484.077027,2199067.080618,"ops/s",false,INTERSECTION,false,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,611684616.996938,1582419.555762,"ops/s",false,INTERSECTION,false,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1785727.274112,55768.272839,"ops/s",false,INTERSECTION,false,nosuchstring,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,226847.433820,5117.160467,"ops/s",false,INTERSECTION,false,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,950194.365136,40043.857142,"ops/s",false,INTERSECTION,false,washington,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,912988.599185,61217.402432,"ops/s",false,INTERSECTION,false,washington,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,195852.638739,8067.131275,"ops/s",false,INTERSECTION,false,"wa sh",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,196663.841768,4966.214733,"ops/s",false,INTERSECTION,false,"wa sh",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,6740.438248,104.034603,"ops/s",false,INTERSECTION,false,"a b c d e",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,6893.369123,393.294438,"ops/s",false,INTERSECTION,false,"a b c d e",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2384.733436,38.220865,"ops/s",false,INTERSECTION,false,"a b c d e g h i l m n p r s u v y",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2465.456930,61.615612,"ops/s",false,INTERSECTION,false,"a b c d e g h i l m n p r s u v y",,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,155119781.160928,14152008.459028,"ops/s",true,UNION,true,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,156926903.888549,4298046.886895,"ops/s",true,UNION,true,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,545265.643384,23899.976049,"ops/s",true,UNION,true,nosuchstring,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,63200.458015,2971.474020,"ops/s",true,UNION,true,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,276645.267926,8987.270374,"ops/s",true,UNION,true,washington,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,278796.829369,4162.137260,"ops/s",true,UNION,true,washington,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,26747.505575,2050.048297,"ops/s",true,UNION,true,"wa sh",,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.single","thrpt",1,9,26101.970081,2408.684635,"ops/s",true,UNION,true,"wa sh",,,BACKTRACKING
