"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1383.064693,31.126169,"us/op",UNION,-1,true,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,13.955024,0.081496,"us/op",UNION,-1,false,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,14.027350,0.284536,"us/op",UNION,-1,false,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,639.881946,15.091448,"us/op",UNION,-1,false,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,640.802652,22.807255,"us/op",UNION,-1,false,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1871.856177,53.617971,"us/op",UNION,-1,false,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1863.263775,23.820472,"us/op",UNION,-1,false,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,34.922285,0.600907,"us/op",INTERSECTION,0,true,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,35.125940,0.673901,"us/op",INTERSECTION,0,true,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,379.551300,6.623896,"us/op",INTERSECTION,0,true,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,374.073346,4.885017,"us/op",INTERSECTION,0,true,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,598.311831,9.049143,"us/op",INTERSECTION,0,true,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,592.905331,12.029884,"us/op",INTERSECTION,0,true,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,11.095427,0.109726,"us/op",INTERSECTION,0,false,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,11.112930,0.149105,"us/op",INTERSECTION,0,false,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,576.381133,10.561512,"us/op",INTERSECTION,0,false,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,578.874825,7.292576,"us/op",INTERSECTION,0,false,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.LargeIntersections.run","avgt",1,9,1538.517108,25.694520,"us/op",INTERSECTION,0,false,"a b c d e g h i l m n p r s u v y",EXACT
